epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,185.868,1.38013,5.04221,0.00501,0.52213,0.65648,0.61728,0.41874,1.21051,1.18859,0.00561,0.00997701,0.00332567,0.00997701,0.00332567,0.00997701,0.00332567,0.00997701,0.00332567
2,323.48,1.32032,2.2709,0.00468,0.7048,0.7148,0.74798,0.53279,1.1572,0.96754,0.00563,0.0197792,0.00659308,0.0197792,0.00659308,0.0197792,0.00659308,0.0197792,0.00659308
3,443.795,1.35217,1.32732,0.00488,0.69719,0.74663,0.77291,0.54654,1.22329,1.14959,0.00632,0.0293835,0.00979449,0.0293835,0.00979449,0.0293835,0.00979449,0.0293835,0.00979449
4,562.455,1.38579,1.054,0.00517,0.77848,0.82152,0.85508,0.5673,1.28389,0.77295,0.00676,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,666.236,1.34182,0.90091,0.00487,0.79176,0.83537,0.86146,0.60736,1.15357,0.68621,0.00599,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,769.377,1.31084,0.79896,0.00464,0.86706,0.85162,0.90324,0.64389,1.13252,0.63896,0.00558,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,884.35,1.27933,0.74173,0.00459,0.8189,0.85822,0.90181,0.64568,1.08373,0.59496,0.00554,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1004.19,1.25394,0.7124,0.00446,0.88246,0.83419,0.9184,0.67129,1.07081,0.59801,0.00555,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1122.91,1.22378,0.66402,0.00434,0.87507,0.89056,0.92632,0.68881,1.03642,0.54259,0.00531,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1238.1,1.21591,0.65813,0.00431,0.87524,0.85533,0.91673,0.6818,1.05924,0.55116,0.00526,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1356.12,1.20472,0.63147,0.00419,0.87176,0.91199,0.93772,0.68278,1.05762,0.5172,0.00513,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1474.76,1.18727,0.60704,0.00412,0.88641,0.89409,0.93656,0.70188,1.01059,0.48704,0.00499,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1589.33,1.16868,0.58751,0.00396,0.87132,0.91258,0.94355,0.70731,0.9947,0.47753,0.00489,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1702.99,1.13999,0.57073,0.0039,0.86328,0.88804,0.93158,0.69212,1.00705,0.49607,0.0047,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1815.81,1.13957,0.56403,0.0039,0.89287,0.8946,0.93897,0.70563,0.97035,0.47509,0.00467,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1928.01,1.12851,0.561,0.00382,0.8886,0.90904,0.9448,0.72103,0.98439,0.49889,0.00503,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2043.34,1.10587,0.54427,0.00372,0.92125,0.88048,0.93311,0.70165,0.99808,0.47539,0.00475,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2156.94,1.10791,0.53603,0.00372,0.88223,0.9078,0.93664,0.72461,0.92969,0.44544,0.00417,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2270.75,1.09162,0.51835,0.00367,0.90548,0.8994,0.95007,0.72927,0.9435,0.44047,0.00439,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2386.4,1.08136,0.51518,0.00365,0.914,0.92577,0.95742,0.74304,0.92009,0.41696,0.00436,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2502.4,1.07251,0.50087,0.00356,0.88447,0.93263,0.94888,0.73661,0.93494,0.4371,0.00441,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2620.96,1.07462,0.50266,0.00355,0.88759,0.91593,0.95194,0.74013,0.92,0.41968,0.00429,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2719.41,1.05721,0.50378,0.0035,0.9284,0.89948,0.95254,0.73785,0.89649,0.42538,0.00405,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2812.68,1.04623,0.4932,0.00348,0.92698,0.92499,0.95331,0.74387,0.91538,0.4193,0.00449,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2912.28,1.04554,0.48604,0.00341,0.91812,0.91832,0.95051,0.73505,0.93014,0.41964,0.00431,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3024.26,1.04349,0.47748,0.00343,0.92591,0.90931,0.95165,0.73694,0.89757,0.41981,0.00421,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3136.35,1.03046,0.47665,0.00335,0.94879,0.91074,0.95671,0.75635,0.87647,0.41139,0.00424,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3248.62,1.03127,0.46758,0.00329,0.92279,0.91159,0.95001,0.74687,0.88719,0.4061,0.00409,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3362.26,1.01467,0.45793,0.00329,0.92244,0.91447,0.95354,0.74973,0.89425,0.40495,0.00418,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3473.5,1.00231,0.45101,0.00328,0.9198,0.93768,0.95671,0.75766,0.86381,0.39291,0.0039,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
